@ HyperIMU -ianovir - 2018,,,,,,,,
@ Date:Sat Dec 14 23:41:03 GMT+05:30 2019, Sampling Rate:100ms,,,,,,,
,,,,,,,,
ST_LIS3DHTR.x,ST_LIS3DHTR.y,ST_LIS3DHTR.z,GRAVITY.x,GRAVITY.y,GRAVITY.z,GPS.lat,GPS.long,GPS.alt
-1.043,-0.212,9.885,-0.210861,-0.144515,9.803314,28.71791833,77.13304667,198.3
-0.102,-0.055,9.801,-0.50978,-0.175628,9.791809,28.71791833,77.13304667,198.3
0.368,-0.212,9.801,-0.580856,-0.177261,9.787827,28.71791833,77.13304667,198.3
0.132,-0.134,9.629,-0.247695,-0.161865,9.802185,28.71791833,77.13304667,198.3
0.603,-0.055,9.801,0.006881,-0.109634,9.80603,28.71791833,77.13304667,198.3
0.289,-0.134,9.885,0.265411,-0.04988,9.802917,28.71791833,77.13304667,198.3
-0.337,-0.212,9.801,0.418685,-0.032394,9.797653,28.71791833,77.13304667,198.3
-1.357,-0.29,9.885,0.331436,-0.045288,9.800934,28.71791833,77.13304667,198.3
-0.024,-0.055,9.801,0.018615,-0.073959,9.806351,28.71791833,77.13304667,198.3
-1.514,-0.212,9.942,-0.197311,-0.131347,9.803772,28.71792833,77.13304667,198.2
-0.18,-0.055,9.885,-0.487701,-0.175125,9.792938,28.71792833,77.13304667,198.2
0.211,-0.134,9.629,-0.558929,-0.182678,9.789001,28.71792833,77.13304667,198.2
-0.024,-0.134,9.629,-0.302673,-0.158172,9.80069,28.71792833,77.13304667,198.2
0.682,-0.134,9.801,-0.054931,-0.132614,9.805588,28.71792833,77.13304667,198.2
0.446,-0.212,9.885,0.223693,-0.105346,9.803528,28.71792833,77.13304667,198.2
0.054,-0.134,9.885,0.467468,-0.087036,9.795105,28.71792833,77.13304667,198.2
-0.887,-0.134,9.801,0.414215,-0.085266,9.797516,28.71792833,77.13304667,198.2
-0.573,-0.29,9.885,-0.013397,-0.098754,9.806137,28.71792833,77.13304667,198.2
0.054,-0.134,9.801,-0.253021,-0.11885,9.802658,28.71792833,77.13304667,198.2
-0.18,-0.134,9.885,-0.486206,-0.13095,9.793701,28.71793333,77.13304333,198
1.074,-0.055,9.801,-0.578674,-0.136428,9.788605,28.71793333,77.13304333,198
0.995,-0.055,9.629,-0.483108,-0.133163,9.793839,28.71793333,77.13304333,198
0.368,-0.055,9.801,-0.129989,-0.129608,9.804932,28.71793333,77.13304333,198
0.76,-0.134,9.885,0.118377,-0.119674,9.805206,28.71793333,77.13304333,198
-0.024,-0.134,9.885,0.401809,-0.106994,9.797821,28.71793333,77.13304333,198
-0.102,-0.055,9.801,0.488281,-0.103927,9.79393,28.71793333,77.13304333,198
-0.416,-0.212,9.629,0.276336,-0.102783,9.802216,28.71793333,77.13304333,198
-0.416,-0.212,9.885,-0.022583,-0.109985,9.806,28.71793333,77.13304333,198
-0.18,-0.055,9.801,-0.294158,-0.142395,9.801193,28.71793333,77.13304333,198
-0.337,-0.134,9.801,-0.525054,-0.16011,9.791275,28.71793833,77.133045,197.9
0.682,0.022,9.801,-0.555175,-0.163665,9.789551,28.71793833,77.133045,197.9
0.446,-0.134,9.801,-0.226684,-0.158004,9.80275,28.71793833,77.133045,197.9
1.388,-0.055,9.801,-0.026672,-0.129653,9.805756,28.71793833,77.133045,197.9
0.995,-0.055,9.801,0.271377,-0.08876,9.80249,28.71793833,77.133045,197.9
-0.573,-0.055,9.864,0.450866,-0.077117,9.795975,28.71793833,77.133045,197.9
-0.102,-0.134,9.885,0.353561,-0.078506,9.799957,28.71793833,77.133045,197.9
-0.573,-0.212,9.801,0.055831,-0.097549,9.806,28.71793833,77.133045,197.9
-0.494,0.022,9.885,-0.189849,-0.13684,9.803848,28.71793833,77.133045,197.9
-0.024,-0.134,9.801,-0.472076,-0.146347,9.794174,28.71793833,77.133045,197.9
0.839,-0.134,9.885,-0.507949,-0.139968,9.79248,28.71795167,77.13305,197.7
0.289,-0.134,9.629,-0.158691,-0.134796,9.804428,28.71795167,77.13305,197.7
0.839,-0.134,9.801,0.119079,-0.120574,9.805176,28.71795167,77.13305,197.7
-0.416,0.022,9.885,0.393753,-0.09793,9.798248,28.71795167,77.13305,197.7
-1.122,-0.29,9.885,0.408813,-0.094085,9.797668,28.71795167,77.13305,197.7
-0.18,-0.29,9.885,0.17781,-0.099731,9.80452,28.71795167,77.13305,197.7
-1.2,-0.134,9.801,-0.107803,-0.120986,9.805298,28.71795167,77.13305,197.7
-0.024,-0.055,9.885,-0.468124,-0.148437,9.794342,28.71795167,77.13305,197.7
0.839,-0.134,9.629,-0.60083,-0.160263,9.786911,28.71795167,77.13305,197.7
-0.024,-0.134,9.885,-0.352523,-0.162155,9.798965,28.71795167,77.13305,197.7
0.682,-0.055,9.801,-0.090728,-0.150482,9.805069,28.71796,77.13305167,197.5
1.074,-0.134,9.801,0.192535,-0.106765,9.804169,28.71796,77.13305167,197.5
-0.965,-0.134,9.864,0.409759,-0.089767,9.797668,28.71796,77.13305167,197.5
-0.102,-0.134,9.629,0.335525,-0.102478,9.800369,28.71796,77.13305167,197.5
-0.024,-0.055,9.801,0.042297,-0.11412,9.805893,28.71796,77.13305167,197.5
-0.965,-0.212,9.801,-0.118148,-0.117675,9.805222,28.71796,77.13305167,197.5
-0.18,-0.055,9.801,-0.39447,-0.127944,9.797867,28.71796,77.13305167,197.5
0.603,-0.055,9.801,-0.498565,-0.134155,9.793045,28.71796,77.13305167,197.5
0.525,-0.055,9.629,-0.289337,-0.131713,9.801483,28.71796,77.13305167,197.5
-0.024,-0.134,9.801,-0.122039,-0.121536,9.80513,28.71795667,77.13305167,197.4
-0.024,-0.055,9.801,-0.044784,-0.110427,9.805923,28.71795667,77.13305167,197.4
1.702,-0.055,9.629,0.183486,-0.095687,9.804459,28.71795667,77.13305167,197.4
0.446,-0.369,9.801,0.407684,-0.086578,9.797775,28.71795667,77.13305167,197.4
-0.965,0.022,9.864,0.425674,-0.091842,9.796967,28.71795667,77.13305167,197.4
-0.337,-0.134,9.885,0.166183,-0.100219,9.804718,28.71795667,77.13305167,197.4
-0.102,-0.134,9.801,0.016967,-0.107513,9.806046,28.71795667,77.13305167,197.4
-0.024,-0.212,9.885,-0.054687,-0.11824,9.805771,28.71795667,77.13305167,197.4
-0.18,-0.134,9.801,-0.258834,-0.130355,9.802353,28.71795667,77.13305167,197.4
-0.337,-0.055,9.801,-0.334976,-0.126525,9.80011,28.71795667,77.13305167,197.4
-0.102,-0.134,9.885,-0.22116,-0.125488,9.803345,28.71795833,77.13304333,197.5
-0.102,-0.134,9.885,-0.133926,-0.125122,9.804932,28.71795833,77.13304333,197.5
-0.102,-0.134,9.885,-0.135482,-0.126358,9.804886,28.71795833,77.13304333,197.5
0.132,-0.134,9.801,-0.210556,-0.127014,9.803558,28.71795833,77.13304333,197.5
0.132,-0.134,9.885,-0.190353,-0.127182,9.80397,28.71795833,77.13304333,197.5
-0.259,-0.055,9.885,-0.126815,-0.126235,9.805008,28.71795833,77.13304333,197.5
-0.337,-0.134,9.629,-0.123184,-0.121597,9.805115,28.71795833,77.13304333,197.5
0.132,-0.134,9.801,-0.124237,-0.111465,9.805222,28.71795833,77.13304333,197.5
-0.259,-0.212,9.885,-0.096572,-0.110885,9.805542,28.71795833,77.13304333,197.5
-0.337,-0.134,9.885,-0.097702,-0.111328,9.805527,28.71795833,77.13304333,197.5
-0.18,-0.134,9.885,-0.135543,-0.11296,9.805054,28.71795833,77.13303833,197.5
