@ HyperIMU -ianovir - 2018
@ Date:Tue Dec 10 13:37:45 GMT+05:30 2019, Sampling Rate:100ms

ST_LIS3DHTR.x,ST_LIS3DHTR.y,ST_LIS3DHTR.z,GRAVITY.x,GRAVITY.y,GRAVITY.z,GPS.lat,GPS.long,GPS.alt,NMEA.a,NMEA.b,NMEA.c
-0.102,-0.055,9.707,-0.047882,-0.11,9.805908,28.71843666666667,77.13369666666668,83.9, , , 
0.054,-0.134,9.629,-0.060989,-0.10968,9.805847,28.71844,77.13368333333332,85.4,$GPGSA.A.3.31.26.16.14.23........1.27.0.92.0.87*07,$GLGSA.A.3.71.74...........1.27.0.92.0.87*1B,$BDGSA.A.3.23.13.16.07.10.02.......1.27.0.92.0.87*13
0.054,-0.134,9.707,-0.036911,-0.1091,9.805969,28.71844,77.13368333333332,85.4,$GAGSA.A.3.24............1.27.0.92.0.87*15,$GPGSV.4.1.15.31.64.029.21.4.41.55.167.34.0.22.50.316..14.47.040.13.6*6F,$GPGSV.4.2.15.26.40.145.30.0.01.36.265..194.35.062..03.28.320.*55
0.132,-0.134,9.707,-0.023849,-0.10884,9.806015,28.71844,77.13368333333332,85.4,$GPGSV.4.3.15.32.28.069..193.22.114..16.19.169.22.9.10.15.136.*56,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.13.0*56,$GLGSV.3.1.9.73.72.065..71.55.025.16.0.70.32.097.14.9.72.25.327.*5A
-0.024,-0.055,9.785,-0.021728,-0.113494,9.805969,28.71844,77.13368333333332,85.4,$GLGSV.3.2.9.74.13.200.20.1.80.13.029..87.08.297..86.07.243.*45,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.18.2.09.55.034..02.55.166.25.5.05.50.215.*6E
0.132,-0.134,9.707,8.54E-4,-0.110717,9.806015,28.71844,77.13368333333332,85.4,$BDGSV.4.2.13.07.49.105.19.7.10.46.149.22.6.03.40.127..16.40.062.18.2*75,$BDGSV.4.3.13.06.37.066.15.1.20.24.317..25.17.041..01.15.104.*71,$BDGSV.4.4.13.13.12.181.19.7*42
-0.102,-0.134,9.707,0.014755,-0.111801,9.806,28.71844,77.13368333333332,85.4,$GAGSV.1.1.4.24.59.094.18.8.09.36.083.11.9.03.24.306..15.12.300.*50,$GNRMC.080754.000.A.2843.1064.N.07708.0210.E.2.832.26.13.101219...A*7C,$GNVTG.26.13.T..M.2.832.N.5.248.K.A*15
-0.102,-0.134,9.785,0.017059,-0.112472,9.805984,28.71844,77.13368333333332,85.4,$PMTKTSX1.33386.-3894.996.36.679.36.241.5fc80000.-0.378121.-0.389500.0.391286.-0.210381.1.460387.-0.400*75,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
0.054,-0.134,9.707,0.013717,-0.110778,9.806015,28.71844,77.13368333333332,85.4,$GNACCURACY.6.3*13,$PMTKAGC.080754.000.4420.4486.6401.6385.0.0.0*60, 
0.054,-0.134,9.785,-9.61E-4,-0.107818,9.806046,28.71844,77.13368333333332,85.4, , , 
0.054,-0.055,9.707,0.009231,-0.106353,9.806061,28.71844,77.13368333333332,85.4, , , 
-0.102,-0.134,9.785,0.02095,-0.104522,9.806061,28.71843833333333,77.13368,87.5,$GPGSA.A.3.31.26.16.32.14.23.......1.17.0.84.0.81*04,$GLGSA.A.3.71.74...........1.17.0.84.0.81*19,$BDGSA.A.3.23.13.16.07.10.02.......1.17.0.84.0.81*11
-0.337,-0.134,10.021,0.024185,-0.104217,9.806061,28.71843833333333,77.13368,87.5,$GAGSA.A.3.24............1.17.0.84.0.81*17,$GPGSV.4.1.15.31.64.029.21.4.41.55.167.34.0.22.50.316..14.47.040.13.6*6F,$GPGSV.4.2.15.26.40.145.30.1.01.36.265.17.1.194.35.062..03.28.320.*4D
-0.102,-0.055,9.864,0.01683,-0.107986,9.80603,28.71843833333333,77.13368,87.5,$GPGSV.4.3.15.32.28.069.20.4.193.22.114..16.19.169.22.4.10.15.136.*43,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.13.0*56,$GLGSV.3.1.9.73.72.065..71.55.025.15.6.70.32.097.14.9.72.25.327.*5F
0.211,-0.134,9.707,-0.012161,-0.111724,9.806,28.71843833333333,77.13368,87.5,$GLGSV.3.2.9.74.13.200.20.0.80.13.029..87.08.297..86.07.243.*44,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.18.2.09.55.034..02.55.166.25.2.05.50.215.*69
-0.102,-0.055,9.864,-0.040802,-0.11444,9.805893,28.71843833333333,77.13368,87.5,$BDGSV.4.2.13.07.49.105.24.2.10.46.149.22.7.03.40.127..16.40.062.18.9*74,$BDGSV.4.3.13.06.37.066.15.1.20.24.317..25.17.041..01.15.104.*71,$BDGSV.4.4.13.13.12.181.18.8*4C
-0.337,-0.134,9.707,-0.050811,-0.113876,9.805847,28.71843833333333,77.13368,87.5,$GAGSV.1.1.4.24.59.094.17.9.09.36.083.11.9.03.24.306..15.12.300.*5E,$GNRMC.080755.000.A.2843.1063.N.07708.0208.E.2.445.36.25.101219...A*7B,$GNVTG.36.25.T..M.2.445.N.4.531.K.A*15
-0.337,-0.055,9.864,-0.07434,-0.113357,9.80571,28.71843833333333,77.13368,87.5,$PMTKTSX1.34386.-3820.071.36.614.36.199.5fe40000.-0.369901.-0.382007.-0.727436.-0.210381.1.460387.-0.395*5B,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
-0.024,-0.055,9.785,-0.092681,-0.112243,9.805557,28.71843833333333,77.13368,87.5,$GNACCURACY.6.3*13,$PMTKAGC.080755.000.5048.4959.6445.6524.0.0.0*68, 
-0.024,0.022,9.785,-0.106719,-0.109558,9.80545,28.71843833333333,77.13368,87.5, , , 
-0.18,-0.134,9.707,-0.133682,-0.109893,9.805115,28.71843833333333,77.13368,87.5, , , 
-0.024,-0.055,9.785,-0.151748,-0.111587,9.80484,28.718426666666666,77.13370333333334,90.6,$GPGSA.A.3.31.26.16.14.23........1.20.0.86.0.84*06,$GLGSA.A.3.71.74...........1.20.0.86.0.84*1A,$BDGSA.A.3.23.13.16.07.10.02.......1.20.0.86.0.84*12
-0.18,-0.212,9.707,-0.136886,-0.111221,9.805054,28.718426666666666,77.13370333333334,90.6,$GAGSA.A.3.09.24...........1.20.0.86.0.84*1D,$GPGSV.4.1.15.31.64.029.10.8.41.55.167.34.0.22.50.316.16.0.14.47.040.12.2*7D,$GPGSV.4.2.15.26.40.145.35.7.01.36.265..194.35.062..03.28.320.*57
-0.259,-0.134,9.707,-0.122421,-0.110733,9.805252,28.718426666666666,77.13370333333334,90.6,$GPGSV.4.3.15.32.28.069..193.22.114..16.19.169.22.3.10.15.136.*5C,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.13.6*50,$GLGSV.3.1.9.73.72.065..71.55.025.15.2.70.32.097..72.25.327.*49
-0.102,-0.134,9.707,-0.120224,-0.11145,9.805267,28.718426666666666,77.13370333333334,90.6,$GLGSV.3.2.9.74.13.200.16.7.80.13.029..87.08.297..86.07.243.*46,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.14.7.09.55.034..02.55.166.24.9.05.50.215.*6A
0.054,-0.055,9.785,-0.128356,-0.114929,9.80513,28.718426666666666,77.13370333333334,90.6,$BDGSV.4.2.13.07.49.105.21.4.10.46.149.22.7.03.40.127..16.40.062.20.1*74,$BDGSV.4.3.13.06.37.066.15.1.20.24.317..25.17.041..01.15.104.*71,$BDGSV.4.4.13.13.12.181.18.6*42
-0.337,-0.212,9.864,-0.124221,-0.122741,9.805084,28.718426666666666,77.13370333333334,90.6,$GAGSV.1.1.4.24.59.094.17.4.09.36.083.11.8.03.24.306..15.12.300.*52,$GNRMC.080756.000.A.2843.1056.N.07708.0222.E.2.082.55.67.101219...A*7A,$GNVTG.55.67.T..M.2.082.N.3.857.K.A*13
-0.102,-0.134,9.785,-0.136734,-0.130081,9.804825,28.718426666666666,77.13370333333334,90.6,$PMTKTSX1.35386.-3815.327.36.647.36.193.5fe80000.-0.368004.-0.381533.-1.422587.-0.210381.1.460387.-0.404*53,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
-0.024,-0.055,9.707,-0.147918,-0.130996,9.804657,28.718426666666666,77.13370333333334,90.6,$GNACCURACY.6.2*12,$PMTKAGC.080756.000.4296.4362.5404.5205.0.0.0*68, 
-0.102,-0.134,9.707,-0.136993,-0.131301,9.80481,28.718426666666666,77.13370333333334,90.6, , , 
-0.18,-0.055,9.785,-0.125259,-0.130783,9.804977,28.718426666666666,77.13370333333334,90.6, , , 
0.054,-0.055,9.864,-0.129959,-0.127822,9.804947,28.718416666666666,77.13372333333334,92.2,$GPGSA.A.3.31.26.16.14.23........1.17.0.83.0.82*01,$GLGSA.A.3.71.74...........1.17.0.83.0.82*1D,$BDGSA.A.3.23.13.16.07.10.02.06......1.17.0.83.0.82*13
-0.102,-0.134,9.707,-0.12886,-0.124801,9.805008,28.718416666666666,77.13372333333334,92.2,$GAGSA.A.3.09.24...........1.17.0.83.0.82*1A,$GPGSV.4.1.15.31.64.029.20.0.41.55.167.34.0.22.50.316..14.47.040.12.2*6F,$GPGSV.4.2.15.26.40.145.36.0.01.36.265..194.35.062..03.28.320.*53
-0.024,-0.134,9.707,-0.127014,-0.120117,9.805084,28.718416666666666,77.13372333333334,92.2,$GPGSV.4.3.15.32.28.069..193.22.114..16.19.169.21.9.10.15.136.*55,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.13.6*50,$GLGSV.3.1.9.73.72.065..71.55.025.15.1.70.32.097..72.25.327.*4A
-0.024,-0.134,9.707,-0.123229,-0.116683,9.805176,28.718416666666666,77.13372333333334,92.2,$GLGSV.3.2.9.74.13.200.20.5.80.13.029..87.08.297..86.07.243.*41,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.18.5.09.55.034..02.55.166.25.2.05.50.215.*6E
0.054,-0.134,9.629,-0.116333,-0.117111,9.805252,28.718416666666666,77.13372333333334,92.2,$BDGSV.4.2.13.07.49.105.28.8.10.46.149.22.9.03.40.127..16.40.062.19.6*72,$BDGSV.4.3.13.06.37.066.15.0.20.24.317..25.17.041..01.15.104.*70,$BDGSV.4.4.13.13.12.181.18.4*40
-0.102,-0.134,9.785,-0.092437,-0.121719,9.80545,28.718416666666666,77.13372333333334,92.2,$GAGSV.1.1.4.24.59.094.23.1.09.36.083.11.7.03.24.306..15.12.300.*5F,$GNRMC.080757.000.A.2843.1050.N.07708.0234.E.1.843.74.65.101219...A*7D,$GNVTG.74.65.T..M.1.843.N.3.416.K.A*1D
-0.102,-0.134,9.864,-0.06018,-0.127914,9.805618,28.718416666666666,77.13372333333334,92.2,$PMTKTSX1.36386.-3815.183.36.808.36.193.5fe80000.-0.367372.-0.381518.-0.617872.-0.210381.1.460387.-0.404*5F,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
-0.102,-0.134,9.707,-0.047363,-0.131866,9.805649,28.718416666666666,77.13372333333334,92.2,$GNACCURACY.6.2*12,$PMTKAGC.080757.000.4985.5081.6873.6783.0.0.0*68, 
0.054,-0.055,9.785,-0.053787,-0.13208,9.805603,28.718416666666666,77.13372333333334,92.2, , , 
0.054,-0.134,9.55,-0.054855,-0.123443,9.80571,28.718416666666666,77.13372333333334,92.2, , , 
-0.18,-0.134,9.707,-0.046173,-0.115509,9.805847,28.71839333333333,77.13367333333333,99.9,$GPGSA.A.3.31.26.16.14.23........1.13.0.79.0.81*03,$GLGSA.A.3.71.74.70..........1.13.0.79.0.81*18,$BDGSA.A.3.23.13.16.07.10.02.06......1.13.0.79.0.81*11
0.132,-0.212,9.629,-0.052185,-0.112854,9.805862,28.71839333333333,77.13367333333333,99.9,$GAGSA.A.3.09.24...........1.13.0.79.0.81*18,$GPGSV.4.1.15.31.64.029.20.0.41.55.167.34.0.22.50.316..14.47.040.12.2*6F,$GPGSV.4.2.15.26.40.145.34.5.01.36.265..194.35.062..03.28.320.*54
0.132,-0.055,9.707,-0.049026,-0.114181,9.805862,28.71839333333333,77.13367333333333,99.9,$GPGSV.4.3.15.32.28.069..193.22.114..16.19.169.21.4.10.15.136.*58,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.13.0*56,$GLGSV.3.1.9.73.72.065..71.55.025.15.5.70.32.097.14.6.72.25.327.*53
0.054,-0.134,9.629,-0.037536,-0.114654,9.805908,28.71839333333333,77.13367333333333,99.9,$GLGSV.3.2.9.74.13.200.19.2.80.13.029..87.08.297..86.07.243.*4C,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.17.7.09.55.034..02.55.166.25.4.05.50.215.*65
0.289,-0.055,9.785,-0.04747,-0.114486,9.805862,28.71839333333333,77.13367333333333,99.9,$BDGSV.4.2.13.07.49.105.25.0.10.46.149.22.8.03.40.127..16.40.062.19.2*72,$BDGSV.4.3.13.06.37.066.15.0.20.24.317..25.17.041..01.15.104.*70,$BDGSV.4.4.13.13.12.181.18.3*47
-0.024,-0.055,9.707,-0.045257,-0.107727,9.805954,28.71839333333333,77.13367333333333,99.9,$GAGSV.1.1.4.24.59.094.22.0.09.36.083.11.7.03.24.306..15.12.300.*5F,$GNRMC.080758.000.A.2843.1036.N.07708.0204.E.1.629.71.61.101219...A*72,$GNVTG.71.61.T..M.1.629.N.3.018.K.A*14
0.132,-0.134,9.707,-0.030746,-0.099197,9.806091,28.71839333333333,77.13367333333333,99.9,$PMTKTSX1.37386.-3844.882.37.035.36.205.5fe00000.-0.369901.-0.384488.-0.440654.-0.210381.1.460387.-0.408*5A,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
-0.024,-0.055,9.707,-0.025329,-0.096435,9.806137,28.71839333333333,77.13367333333333,99.9,$GNACCURACY.6.1*11,$PMTKAGC.080758.000.5235.5375.5967.6042.0.0.0*63, 
-0.494,-0.055,9.785,0.008178,-0.096282,9.806168,28.71839333333333,77.13367333333333,99.9, , , 
0.525,-0.055,9.785,0.001068,-0.096588,9.806168,28.71839333333333,77.13367333333333,99.9, , , 
0.132,-0.134,9.707,-0.007171,-0.097305,9.806152,28.718369999999997,77.133625,106.4,$GPGSA.A.3.31.26.16.14.23........1.13.0.79.0.81*03,$GLGSA.A.3.71.74.70..........1.13.0.79.0.81*18,$BDGSA.A.3.23.13.16.07.10.02.06......1.13.0.79.0.81*11
0.054,-0.134,9.785,-0.003005,-0.099533,9.806137,28.718369999999997,77.133625,106.4,$GAGSA.A.3.09.24...........1.13.0.79.0.81*18,$GPGSV.4.1.15.31.64.029.20.0.41.55.167.34.0.22.50.316..14.47.040.12.1*6C,$GPGSV.4.2.15.26.40.145.31.5.01.36.265..194.35.062..03.28.320.*51
-0.024,-0.134,9.785,-0.003829,-0.100082,9.806137,28.718369999999997,77.133625,106.4,$GPGSV.4.3.15.32.28.069..193.22.114..16.19.169.21.2.10.15.136.*5E,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.13.0*56,$GLGSV.3.1.9.73.72.065..71.55.025.19.0.70.32.097.14.6.72.25.327.*5A
-0.102,-0.134,9.707,0.008255,-0.101409,9.806122,28.718369999999997,77.133625,106.4,$GLGSV.3.2.9.74.13.200.18.6.80.13.029..87.08.297..86.07.243.*49,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.17.3.09.55.034..02.55.166.25.1.05.50.215.*64
-0.024,-0.134,9.707,0.054901,-0.102783,9.805954,28.718369999999997,77.133625,106.4,$BDGSV.4.2.13.07.49.105.25.0.10.46.149.23.2.03.40.127..16.40.062.19.4*7F,$BDGSV.4.3.13.06.37.066.15.0.20.24.317..25.17.041..01.15.104.*70,$BDGSV.4.4.13.13.12.181.18.4*40
-0.024,-0.134,9.707,0.036773,-0.103088,9.80603,28.718369999999997,77.133625,106.4,$GAGSV.1.1.4.24.59.094.18.6.09.36.083.11.7.03.25.306..15.12.300.*51,$GNRMC.080759.000.A.2843.1022.N.07708.0175.E.1.474.112.10.101219...A*4B,$GNVTG.112.10.T..M.1.474.N.2.730.K.A*20
0.446,-0.055,9.707,0.022705,-0.106811,9.80603,28.718369999999997,77.133625,106.4,$PMTKTSX1.38386.-3992.691.37.035.36.258.5fbc0000.-0.381915.-0.399269.-2.767031.-0.210381.1.460387.-0.404*04,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
-0.18,-0.134,9.629,0.022079,-0.108703,9.806015,28.718369999999997,77.133625,106.4,$GNACCURACY.6.0*10,$PMTKAGC.080759.000.4734.4807.5839.5792.0.0.0*6B, 
-0.024,-0.134,9.785,0.009185,-0.110641,9.806015,28.718369999999997,77.133625,106.4, , , 
-0.18,-0.212,9.785,0.004943,-0.118225,9.805923,28.718369999999997,77.133625,106.4, , , 
-0.337,-0.134,9.707,0.004455,-0.118942,9.805923,28.718338333333335,77.13355499999999,116.1,$GPGSA.A.3.31.32.26.01.16.14.23......1.05.0.71.0.78*0A,$GLGSA.A.3.71.74.70..........1.05.0.71.0.78*11,$BDGSA.A.3.23.13.16.07.10.02.06......1.05.0.71.0.78*18
-0.259,-0.055,9.785,-0.004364,-0.109481,9.80603,28.718338333333335,77.13355499999999,116.1,$GAGSA.A.3.24............1.05.0.71.0.78*18,$GPGSV.4.1.15.31.64.029.12.2.41.55.167.33.0.22.50.316..14.47.040.12.1*68,$GPGSV.4.2.15.26.40.145.31.5.01.36.265.18.8.194.35.062..03.28.320.*4E
-0.024,-0.134,9.707,-0.038253,-0.101013,9.806046,28.718338333333335,77.13355499999999,116.1,$GPGSV.4.3.15.32.28.069.19.3.193.22.114..16.19.169.20.9.10.15.136.*41,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.13.0*56,$GLGSV.3.1.9.73.72.065..71.55.025.19.4.70.32.097.14.6.72.25.327.*5E
0.054,-0.134,9.629,-0.038131,-0.0914,9.806137,28.718338333333335,77.13355499999999,116.1,$GLGSV.3.2.9.74.13.200.18.5.80.13.029..87.08.297..86.07.243.*4A,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.17.3.09.55.034..02.55.166.25.1.05.50.215.*64
-0.024,-0.134,9.864,-0.035202,-0.082199,9.806229,28.718338333333335,77.13355499999999,116.1,$BDGSV.4.2.13.07.49.105.27.6.10.46.149.23.5.03.40.127..16.40.062.19.3*7B,$BDGSV.4.3.13.06.37.066.15.2.20.24.317..25.17.041..01.15.104.*72,$BDGSV.4.4.13.13.12.181.18.7*43
0.211,-0.134,9.785,-0.035552,-0.082427,9.806229,28.718338333333335,77.13355499999999,116.1,$GAGSV.1.1.4.24.59.094.17.3.09.36.083.9.0.03.25.306..15.12.300.*65,$GNRMC.080800.000.A.2843.1003.N.07708.0133.E.0.000.112.10.101219...A*4F,$GNVTG.112.10.T..M.0.000.N.0.000.K.A*20
-0.102,-0.212,9.707,-0.031066,-0.097152,9.806107,28.718338333333335,77.13355499999999,116.1,$PMTKTSX1.39386.-4153.618.36.808.36.326.5f8e0000.-0.396458.-0.415362.-1.549637.-0.210381.1.460387.-0.417*51,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
-0.024,-0.055,9.629,-0.027145,-0.108947,9.806,28.718338333333335,77.13355499999999,116.1,$GNACCURACY.5.8*1B,$PMTKAGC.080800.000.4192.4299.6189.6120.0.0.0*62, 
-0.102,-0.055,9.629,-0.039779,-0.111938,9.805923,28.718338333333335,77.13355499999999,116.1, , , 
0.054,-0.134,9.707,-0.052566,-0.110855,9.805878,28.718338333333335,77.13355499999999,116.1, , , 
-0.337,-0.134,9.707,-0.055709,-0.102508,9.805954,28.718326666666666,77.13355166666666,117.3,$GPGSA.A.3.31.32.26.01.16........1.19.0.87.0.82*0F,$GLGSA.A.3.71.74.70..........1.19.0.87.0.82*10,$BDGSA.A.3.23.13.16.07.10.02.06......1.19.0.87.0.82*19
-0.494,-0.134,9.785,-0.053131,-0.095291,9.80603,28.718326666666666,77.13355166666666,117.3,$GAGSA.A.3.24............1.19.0.87.0.82*19,$GPGSV.4.1.15.31.64.029.12.2.41.55.167.33.0.22.50.316..14.47.040.10.3*68,$GPGSV.4.2.15.26.40.145.30.6.01.36.265.19.9.194.35.062..03.28.320.*4C
-0.024,-0.134,9.707,-0.06871,-0.091217,9.805984,28.718326666666666,77.13355166666666,117.3,$GPGSV.4.3.15.32.28.069.20.4.193.22.114..16.19.169.20.8.10.15.136.*4D,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.13.6*50,$GLGSV.3.1.9.73.72.065..71.55.025.19.0.70.32.097.14.9.72.25.327.*55
0.054,-0.212,9.629,-0.091979,-0.094711,9.805756,28.718326666666666,77.13355166666666,117.3,$GLGSV.3.2.9.74.13.200.19.1.80.13.029..87.08.297..86.07.243.*4F,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.12.4.09.55.034..02.55.166.25.3.05.50.215.*64
-0.18,-0.212,9.785,-0.086349,-0.105896,9.805695,28.718326666666666,77.13355166666666,117.3,$BDGSV.4.2.13.07.49.105.23.2.10.46.149.23.5.03.40.127..16.40.062.18.8*71,$BDGSV.4.3.13.06.37.066.15.4.20.24.317..25.17.041..01.15.104.*74,$BDGSV.4.4.13.13.12.181.18.7*43
-0.102,-0.134,9.707,-0.09288,-0.114837,9.805527,28.718326666666666,77.13355166666666,117.3,$GAGSV.1.1.4.24.59.094.14.5.09.36.083.9.0.03.25.306..15.12.300.*60,$GNRMC.080801.000.A.2843.0996.N.07708.0131.E.0.000.112.10.101219...A*48,$GNVTG.112.10.T..M.0.000.N.0.000.K.A*20
-0.102,-0.055,9.707,-0.126358,-0.122116,9.805069,28.718326666666666,77.13355166666666,117.3,$PMTKTSX1.40386.-4201.192.36.711.36.359.5f780000.-0.402149.-0.420119.0.933418.-0.210381.1.460387.-0.422*20,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
-0.259,-0.134,9.785,-0.128601,-0.120651,9.805054,28.718326666666666,77.13355166666666,117.3,$GNACCURACY.5.8*1B,$PMTKAGC.080801.000.4131.4217.6166.6121.0.0.0*6C, 
-0.024,-0.055,9.707,-0.146118,-0.112152,9.804916,28.718326666666666,77.13355166666666,117.3, , , 
0.054,-0.055,9.707,-0.184387,-0.107101,9.804321,28.718326666666666,77.13355166666666,117.3,$GPGSA.A.3.31.22.32.26.01.16.......1.13.0.77.0.82*0A,$GLGSA.A.3.71.74.70..........1.13.0.77.0.82*15,$BDGSA.A.3.23.13.16.07.10.02.06......1.13.0.77.0.82*1C
-0.024,-0.134,9.785,-0.180114,-0.104415,9.804428,28.718320000000002,77.13352499999999,118.9,$GAGSA.A.3.24............1.13.0.77.0.82*1C,$GPGSV.4.1.15.31.64.029.12.2.41.55.167.33.0.22.50.316.16.0.14.47.040.10.3*71,$GPGSV.4.2.15.26.40.145.36.5.01.36.265.19.9.194.35.062..03.28.320.16.4*54
-0.651,-0.134,9.785,-0.148559,-0.106903,9.804932,28.718320000000002,77.13352499999999,118.9,$GPGSV.4.3.15.32.28.069.20.4.193.22.114..16.19.169.20.7.10.15.136.*42,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.13.6*50,$GLGSV.3.1.9.73.72.065..71.55.025.19.6.70.32.097.16.3.72.25.327.*5B
-0.102,-0.134,9.785,-0.155075,-0.115142,9.804733,28.718320000000002,77.13352499999999,118.9,$GLGSV.3.2.9.74.13.200.18.8.80.13.029..87.08.297..86.07.243.*47,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.12.4.09.55.034..02.55.166.25.3.05.50.215.*64
-0.102,-0.134,9.785,-0.152725,-0.120529,9.804718,28.718320000000002,77.13352499999999,118.9,$BDGSV.4.2.13.07.49.105.28.0.10.46.149.23.6.03.40.127..16.40.062.19.0*72,$BDGSV.4.3.13.06.37.066.14.3.20.24.317..25.17.041..01.15.104.*72,$BDGSV.4.4.13.13.12.181.18.7*43
-0.259,-0.212,9.707,-0.136459,-0.123626,9.804916,28.718320000000002,77.13352499999999,118.9,$GAGSV.1.1.4.24.59.094.14.5.09.36.083.9.0.03.25.306..15.12.300.*60,$GNRMC.080802.000.A.2843.0992.N.07708.0115.E.0.000.112.10.101219...A*49,$GNVTG.112.10.T..M.0.000.N.0.000.K.A*20
-0.102,-0.134,9.785,-0.163772,-0.122848,9.804504,28.718320000000002,77.13352499999999,118.9,$PMTKTSX1.41386.-4153.388.36.614.36.356.5f7a0000.-0.402149.-0.415339.4.780385.-0.210381.1.460387.-0.422*79,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
-0.024,-0.134,9.707,-0.204254,-0.122909,9.803741,28.718320000000002,77.13352499999999,118.9,$GNACCURACY.5.7*14,$PMTKAGC.080802.000.4465.4543.6558.6505.0.0.0*66, 
-0.102,-0.055,9.707,-0.181304,-0.12239,9.804199,28.718320000000002,77.13352499999999,118.9, , , 
-0.102,-0.055,9.785,-0.166351,-0.119369,9.804504,28.718320000000002,77.13352499999999,118.9, , , 
-0.024,-0.134,9.785,-0.162216,-0.115264,9.804626,28.718320000000002,77.13352499999999,118.9,$GPGSA.A.3.31.22.32.26.01.16.......1.13.0.77.0.82*0A,$GLGSA.A.3.71.74.70..........1.13.0.77.0.82*15,$BDGSA.A.3.23.13.16.07.10.02.06......1.13.0.77.0.82*1C
