@ HyperIMU -ianovir - 2018
@ Date:Tue Dec 10 13:37:45 GMT+05:30 2019, Sampling Rate:100ms

ST_LIS3DHTR.x,ST_LIS3DHTR.y,ST_LIS3DHTR.z,GRAVITY.x,GRAVITY.y,GRAVITY.z,GPS.lat,GPS.long,GPS.alt,NMEA.a,NMEA.b,NMEA.c
-0.102,-0.134,9.707,-0.089614,-0.103225,9.805695,28.71843666666667,77.13372333333334,79.7,$GPGSA.A.3.31.03.26.16.14........1.46.1.11.0.95*0B,$GLGSA.A.3.71.74...........1.46.1.11.0.95*15,$BDGSA.A.3.23.13.07.10.........1.46.1.11.0.95*18
-0.102,-0.134,9.707,-0.098373,-0.103729,9.805603,28.71843666666667,77.13372333333334,79.7,$GAGSA.A.3.24............1.46.1.11.0.95*1B,$GPGSV.4.1.15.31.64.029.18.8.41.55.167.34.0.22.50.316..14.47.040.12.7*69,$GPGSV.4.2.15.26.40.145.34.8.01.36.265..194.35.062..03.28.320.13.4*41
-0.102,-0.134,9.864,-0.098983,-0.103576,9.805603,28.71843666666667,77.13372333333334,79.7,$GPGSV.4.3.15.32.28.069..193.22.114..16.19.169.25.1.10.15.136.*59,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.*4A,$GLGSV.3.1.9.73.72.065..71.55.025.17.2.70.32.097..72.25.327.*4B
-0.102,-0.134,9.707,-0.093124,-0.103393,9.805649,28.71843666666667,77.13372333333334,79.7,$GLGSV.3.2.9.74.13.200.19.6.80.13.029..87.08.297..86.07.243.*48,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.15.3.09.55.034..02.55.166.26.5.05.50.215.*61
-0.024,-0.134,9.785,-0.090713,-0.102981,9.805679,28.71843666666667,77.13372333333334,79.7,$BDGSV.4.2.13.07.49.105.27.0.10.46.149.21.8.03.40.127..16.40.062.*67,$BDGSV.4.3.13.06.37.066..20.24.317..25.17.041..01.15.104.*6A,$BDGSV.4.4.13.13.12.181.18.9*4D
-0.102,-0.134,9.785,-0.087341,-0.100921,9.80574,28.71843666666667,77.13372333333334,79.7,$GAGSV.1.1.4.24.59.094.20.5.09.36.083.15.0.03.24.306..15.12.300.*5B,$GNRMC.080748.000.A.2843.1062.N.07708.0234.E.3.386.66.71.101219...A*74,$GNVTG.66.71.T..M.3.386.N.6.275.K.A*1D
-0.102,-0.134,9.707,-0.080642,-0.100387,9.805801,28.71843666666667,77.13372333333334,79.7,$PMTKTSX1.27386.-3859.635.37.002.36.211.5fdc0000.-0.371166.-0.385964.-1.852087.-0.210381.1.460387.-0.400*06,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
-0.102,-0.134,9.707,-0.081146,-0.105361,9.80574,28.71843666666667,77.13372333333334,79.7,$GNACCURACY.6.5*15,$PMTKAGC.080748.000.5253.5189.5868.5796.0.0.0*60, 
-0.102,-0.134,9.864,-0.08522,-0.109344,9.805664,28.71843666666667,77.13372333333334,79.7, , , 
-0.18,-0.055,9.864,-0.085449,-0.111755,9.805634,28.71843666666667,77.13372333333334,79.7, , , 
